parameter_name,Response amplitude - S
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
pvalue,0.1893851
mouse_life_stage,Middle aged adult
parameter_id,IMPC_ACS_006_001
mouse_strain,C57BL
analysis_id,ai2n5162n6qvf28
