parameter_name,Clavicle
mouse_life_stage,Early adult
analysis_id,0819z4y80b169vr
mouse_strain,C57BL
gene_accession_id,MGI:1914561
pvalue,0.3722067
parameter_id,IMPC_XRY_007_001
gene_symbol,Nanp
