parameter_name,Right kidney weight
analysis_id,40059lw8o4d290y
gene_symbol,Nanp
mouse_strain,C57BL
pvalue,0.1666356
mouse_life_stage,Early adult
gene_accession_id,MGI:1914561
parameter_id,IMPC_OWT_004_001
