analysis_id,dc373d4a42t0o85
gene_accession_id,MGI:1888742
mouse_strain,C57BL
pvalue,0.08129268
parameter_name,Response amplitude - S
mouse_life_stage,Early adult
gene_symbol,Extl1
parameter_id,IMPC_ACS_006_001
