parameter_name,Platelet count
gene_symbol,Sema6c
parameter_id,IMPC_HEM_008_001
pvalue,0.8348208
mouse_strain,C57BL
gene_accession_id,MGI:1338032
analysis_id,k7l0k85l74z6253
mouse_life_stage,Early adult
