parameter_name,Shape of ribcage
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,wn1u110mhzq116w
gene_symbol,Col6a3
pvalue,0.5838281
parameter_id,IMPC_XRY_059_001
gene_accession_id,MGI:88461
