parameter_name,Magnesium
mouse_strain,C57BL
pvalue,0.5361632
parameter_id,M-G-P_025_001_030
gene_symbol,Steap3
gene_accession_id,MGI:1915678
mouse_life_stage,Early adult
analysis_id,qih965260p11h7w
