analysis_id,iov68q88qio0b84
parameter_id,IMPC_CBC_010_001
parameter_name,Phosphorus
mouse_life_stage,Early adult
gene_accession_id,MGI:2448481
pvalue,0.203563
gene_symbol,Mgst2
mouse_strain,C57BL
