analysis_id,ejmv73f5sg1k161
gene_symbol,Ddx27
pvalue,0.6510614
mouse_strain,C57BL
parameter_id,IMPC_XRY_024_001
mouse_life_stage,Early adult
parameter_name,Femur
gene_accession_id,MGI:2385884
