gene_symbol,Rab22a
parameter_id,JAXLA_EYE_092_001
pvalue,0.4285252
gene_accession_id,MGI:105072
mouse_life_stage,Early adult
analysis_id,880972mb5g8wkn6
parameter_name,Retina (combined)
mouse_strain,C57BL
