parameter_id,JAXLA_EYE_092_001
gene_symbol,Eprs1
pvalue,0.589542
mouse_life_stage,E9.5
gene_accession_id,MGI:97838
analysis_id,92984025um37k58
parameter_name,Retina (combined)
mouse_strain,C57BL
