analysis_id,vuuhekp36q7w19l
pvalue,0.3725707
gene_symbol,Gfi1b
gene_accession_id,MGI:1276578
mouse_life_stage,Early adult
parameter_id,JAX_OFD_015_001
parameter_name,Center resting time
mouse_strain,C57BL
