gene_symbol,Hpca
gene_accession_id,MGI:1336200
parameter_id,MGP_IMM_129_001
parameter_name,CD11b-high cDC - % of CD45+
pvalue,0.4296386
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
analysis_id,n42953m2734z09x
