parameter_name,Number of centre entries
parameter_id,ESLIM_007_001_015
gene_symbol,Mms22l
gene_accession_id,MGI:2684980
analysis_id,5z8k351kae56wro
mouse_life_stage,Early adult
mouse_strain,129SV
pvalue,0.2992633
