parameter_name,Percent time in dark
pvalue,0.1926728
analysis_id,tsr9q189je36668
mouse_strain,C57BL
gene_accession_id,MGI:1919949
mouse_life_stage,Early adult
gene_symbol,Lime1
parameter_id,JAX_LDT_008_001
