analysis_id,t16wwh9n699nmp2
parameter_id,MGP_PBI_030_001
gene_accession_id,MGI:1915472
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
mouse_strain,C57BL
gene_symbol,Tubb4b
pvalue,0.3641835
mouse_life_stage,Early adult
