analysis_id,839tloa4b1ya34n
gene_symbol,Golm2
parameter_name,Anophthalmia
parameter_id,IMPC_GEO_048_002
mouse_strain,C57BL
pvalue,0.1574324
mouse_life_stage,Early adult
gene_accession_id,MGI:2443129
