analysis_id,f5467zh5v32da2z
gene_symbol,Usp37
gene_accession_id,MGI:2442483
parameter_id,IMPC_IMM_025_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,DN CD25- NKT cells
pvalue,0.1769159
