analysis_id,5uuehp0zk96zg11
parameter_id,MGP_IMM_110_001
gene_symbol,Hpca
mouse_life_stage,Late adult
mouse_strain,C57BL
pvalue,0.4219493
gene_accession_id,MGI:1336200
parameter_name,Transitional 1 B cells - % of CD45+
