parameter_id,HRWLLA_CBC_014_001
analysis_id,6q63tn93b7kt36z
pvalue,0.5663898
mouse_life_stage,Early adult
parameter_name,Alkaline phosphatase
gene_accession_id,MGI:104848
gene_symbol,INPP1
mouse_strain,C57BL
