analysis_id,ea6yjohqe2orm00
gene_accession_id,MGI:1922745
gene_symbol,Morn5
parameter_id,MGP_IMM_036_001
parameter_name,KLRG1+ NK cells - % of NK cells
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2997737
