parameter_name,Neutrophil differential count
analysis_id,m1plhh50amu568i
pvalue,0.7583234
parameter_id,IMPC_HEM_029_001
gene_symbol,Atrn
gene_accession_id,MGI:1341628
mouse_strain,C57BL
mouse_life_stage,Early adult
