analysis_id,d89n82h3nvy0q39
mouse_life_stage,Early adult
parameter_name,KLRG1+ Treg cells - % of Treg
gene_accession_id,MGI:1921262
parameter_id,MGP_MLN_011_001
gene_symbol,Rap2b
pvalue,0.8480846
mouse_strain,C51BL
