parameter_name,Mean-cell-volume
analysis_id,j571877mix1a466
gene_symbol,Hspa5
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,M-G-P_016_001_005
gene_accession_id,MGI:95835
pvalue,0.5741152
