parameter_name,Corneal vascularization
parameter_id,IMPC_EYE_009_001
pvalue,0.5345552
gene_accession_id,MGI:1927232
analysis_id,ch65azcx3ke4583
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Rab13
