parameter_name,Lower teeth appearance
pvalue,0.5810567
analysis_id,g31084oi53s8w2p
gene_accession_id,MGI:96757
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_070_001
mouse_strain,C57BL
gene_symbol,Lcn2
