parameter_name,Periphery - Permanence Time
gene_accession_id,MGI:1927232
pvalue,0.4251904
mouse_life_stage,Early adult
parameter_id,M-G-P_007_001_008
mouse_strain,C57BL
gene_symbol,Rab13
analysis_id,gb62143o9hp19hd
