gene_symbol,Snrpb2
gene_accession_id,MGI:104805
mouse_strain,C57BL
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
analysis_id,41tel4ve7766nkx
mouse_life_stage,Early adult
pvalue,0.4524664
parameter_id,MGP_IMM_027_001
