gene_symbol,Mms22l
analysis_id,79h7xk01175w5s2
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_name,Humerus
gene_accession_id,MGI:2684980
pvalue,1.20598
parameter_id,IMPC_XRY_021_001
