gene_symbol,Dnajc6
analysis_id,nqqo37r88ue610d
pvalue,0.2052316
gene_accession_id,MGI:1919935
mouse_strain,C57BL
parameter_name,IgD+ mature B cell number
parameter_id,MGP_PBI_035_001
mouse_life_stage,Early adult
