analysis_id,427r163pak14875
parameter_id,IMPC_IMM_004_001
gene_symbol,Zmynd19
mouse_strain,C54BL
parameter_name,NKT cells (panel A)
gene_accession_id,MGI:1914437
pvalue,0.3321938
mouse_life_stage,Early adult
