analysis_id,15042t303x4f9i9
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
parameter_name,RR
parameter_id,IMPC_ECG_004_001
mouse_strain,C57BL
pvalue,0.7839807
mouse_life_stage,Middle aged adult
