gene_symbol,Ints7
mouse_life_stage,E9.5
parameter_id,MGP_IMM_017_001
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
pvalue,0.2766954
mouse_strain,C57BL
gene_accession_id,MGI:1924315
analysis_id,c3856vu37izmm1c
