parameter_name,Facial Morphology
analysis_id,3zai5wwtumbpwk1
pvalue,0.8036244
mouse_strain,C57BL
parameter_id,IMPC_GEP_017_001
gene_accession_id,MGI:87968
mouse_life_stage,E9.5
gene_symbol,Ahcy
