parameter_name,NK Subsets (Q2)
analysis_id,6z3c2fqh2l28in9
mouse_strain,C57BL
parameter_id,IMPC_IMM_055_001
mouse_life_stage,Late adult
pvalue,0.3664275
gene_symbol,Nucks1
gene_accession_id,MGI:1934811
