analysis_id,zh3s3bc2y8ef0x7
parameter_id,IMPC_IMM_050_001
mouse_strain,C57BL
parameter_name,Neutrophils
gene_symbol,Ints7
mouse_life_stage,E9.5
gene_accession_id,MGI:1924315
pvalue,0.1438367
