analysis_id,wd34t7gnra26f64
parameter_name,Body position
pvalue,0.8020074
gene_accession_id,MGI:2446274
parameter_id,ESLIM_008_001_001
gene_symbol,Frmpd1
mouse_life_stage,Early adult
mouse_strain,C57BL
