gene_symbol,Plcb1
analysis_id,25jwiuhiq97ebcd
parameter_name,Ventral coat/hair presence
gene_accession_id,MGI:97613
mouse_life_stage,Middle aged adult
pvalue,0.3980157
parameter_id,MGP_CSD_025_001
mouse_strain,C57BL
