parameter_name,Clavicle
gene_accession_id,MGI:1341628
parameter_id,IMPC_XRY_007_001
mouse_strain,C57BL
pvalue,0.5745941
mouse_life_stage,Early adult
analysis_id,z64u2xo5tx83t04
gene_symbol,Atrn
