analysis_id,790378848e1cxa4
pvalue,0.7134026
gene_symbol,Dnajc8
mouse_strain,C57BL
parameter_name,cDCs CD11b Type
parameter_id,IMPC_IMM_073_001
gene_accession_id,MGI:1915848
mouse_life_stage,Early adult
