parameter_id,HRWLLA_CBC_014_001
parameter_name,Alkaline phosphatase
analysis_id,9jk733g534iq02e
gene_symbol,Rhbg
pvalue,0.6247743
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1927379
