parameter_name,Facial Morphology
mouse_strain,C57BL
parameter_id,IMPC_GEP_017_001
gene_accession_id,MGI:1917810
gene_symbol,Wars2
pvalue,0.7931734
analysis_id,43cgm6x78k80t5b
mouse_life_stage,E12.5
