gene_symbol,Cdin1
mouse_life_stage,E9.5
gene_accession_id,MGI:3026886
analysis_id,8s6125w17n42v3q
parameter_name,Lens
pvalue,0.6179416
mouse_strain,C57BL
parameter_id,IMPC_EYE_016_001
