parameter_id,HMGULA_DYS_024_001
analysis_id,8b29m9o560h6hff
pvalue,0.2158698
gene_accession_id,MGI:2684980
gene_symbol,Mms22l
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Vibrissae - appearance
