gene_symbol,Kifap3
mouse_strain,C57BL
pvalue,0.646587
parameter_name,Body Weight
analysis_id,037579d091c8tiv
parameter_id,M-G-P_020_001_001
mouse_life_stage,Early adult
gene_accession_id,MGI:107566
