analysis_id,t93646s5i3301mn
parameter_name,Alkaline phosphatase
mouse_strain,C57BL
gene_symbol,Trim46
gene_accession_id,MGI:2673000
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_014_001
pvalue,0.9844302
