parameter_name,B cell number
mouse_strain,C57BL
pvalue,0.6857203
mouse_life_stage,Early adult
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
analysis_id,7hdo0hz9144048v
parameter_id,MGP_PBI_034_001
