analysis_id,t745201d0i7651y
parameter_id,IMPC_CBC_001_001
gene_symbol,Slx4ip
pvalue,0.6766649
parameter_name,Sodium
mouse_strain,C57BL
gene_accession_id,MGI:1921493
mouse_life_stage,Early adult
