parameter_name,Hindpaw - size
analysis_id,4z39v491t681p8m
parameter_id,JAXLA_CSD_041_002
gene_symbol,Cds2
mouse_life_stage,Early adult
pvalue,0.2818114
mouse_strain,129SV
gene_accession_id,MGI:1332236
