mouse_strain,C57BL
pvalue,0.8840461
gene_symbol,Psmd14
parameter_id,MGP_IMM_016_001
parameter_name,Naive CD8+ T cells - % of CD8+
mouse_life_stage,Early adult
analysis_id,e79s9r3pe381293
gene_accession_id,MGI:1913284
