gene_symbol,Slc17a9
pvalue,0.1920249
gene_accession_id,MGI:1919107
mouse_strain,C57BL
parameter_name,Vibrissae - presence
mouse_life_stage,Early adult
analysis_id,320oj8ywc9743o7
parameter_id,JAXLA_CSD_023_001
