analysis_id,22k91633h35dqnw
gene_accession_id,MGI:1917810
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_name,Total cholesterol
gene_symbol,Wars2
pvalue,0.4899389
parameter_id,HMGULA_CBC_015_001
