gene_symbol,Bmp7
parameter_name,Follicular B Cells (CD21/35+)
parameter_id,IMPC_IMM_067_001
mouse_life_stage,Early adult
pvalue,0.8940669
gene_accession_id,MGI:103302
analysis_id,lyt11lbye8p81f8
mouse_strain,C57BL
