parameter_name,Monocytes
analysis_id,0o15ux9gaw80v76
gene_accession_id,MGI:1913506
pvalue,0.5966168
gene_symbol,Ssr2
parameter_id,IMPC_IMM_051_001
mouse_strain,C57BL
mouse_life_stage,Early adult
