analysis_id,96vbk0k3cq2497x
pvalue,0.9261263
mouse_strain,C57BL
parameter_id,IMPC_XRY_059_001
mouse_life_stage,Early adult
gene_symbol,Inpp1
gene_accession_id,MGI:104848
parameter_name,Shape of ribcage
