parameter_name,Iron
parameter_id,IMPC_CBC_011_001
mouse_life_stage,Early adult
pvalue,0.5735475
gene_symbol,Lamb3
mouse_strain,C57BL
analysis_id,d2u35o18kax5759
gene_accession_id,MGI:99915
