gene_symbol,Bcs1l
parameter_id,MGP_PBI_032_001
gene_accession_id,MGI:1914071
mouse_strain,C57BL
parameter_name,CD4+ KLRG1+ alpha beta T cell number
analysis_id,91377vz21pu5119
pvalue,0.8950154
mouse_life_stage,E9.5
