gene_symbol,Hpca
analysis_id,zqy5p61w2ex79p7
mouse_strain,C57BL
parameter_id,MGP_PBI_030_001
gene_accession_id,MGI:1336200
pvalue,0.2664501
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
mouse_life_stage,Late adult
