parameter_name,Tremor
mouse_strain,C57BL
pvalue,0.9415755
gene_accession_id,MGI:99915
gene_symbol,Lamb3
parameter_id,TCPLA_CSD_030_001
analysis_id,s883l73j495u3a6
mouse_life_stage,Early adult
