gene_symbol,Lime1
pvalue,0.7290018
parameter_id,IMPC_IPG_011_001
gene_accession_id,MGI:1919949
analysis_id,dq6t96l3831i28r
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Initial response to glucose challenge
