analysis_id,289610dq9f8n5yc
gene_symbol,Snap23
parameter_id,MGP_MLN_005_001
mouse_strain,C57BL
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
pvalue,0.8351699
gene_accession_id,MGI:109356
mouse_life_stage,Early adult
