parameter_id,HMGULA_CBC_009_001
mouse_life_stage,E12.5
analysis_id,bffy01g717q60k4
gene_accession_id,MGI:97838
parameter_name,Calcium
mouse_strain,C57BL
pvalue,0.7908278
gene_symbol,Eprs1
