parameter_name,Mean platelet volume
gene_symbol,Ddx27
gene_accession_id,MGI:2385884
analysis_id,0y21546e01t01u7
mouse_life_stage,Early adult
pvalue,0.5507259
mouse_strain,C57BL
parameter_id,IMPC_HEM_019_001
