analysis_id,216019m70844381
gene_symbol,Zmynd8
mouse_strain,C57BL
pvalue,0.7379817
parameter_name,Alanine aminotransferase
parameter_id,IMPC_CBC_013_001
gene_accession_id,MGI:1918025
mouse_life_stage,Early adult
